system:index,Blue,Green,NDSI,NDVI,NDWI,NIR,Red,SWIR1,SWIR2,Thermal,class,random,.geo
1_1_1_1_2_28,0.152275,0.2557025,0.9027174,-0.11576938,0.12049367,0.16946250000000002,0.24423499999999998,-4.0500000000001646E-4,0.0057274999999999965,274.27385102,0,0.6788838584149494,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_30,0.323985,0.39408250000000006,0.94033974,-0.08547632,0.0616657,0.32937500000000003,0.41281000000000007,0.0023175,0.00789999999999999,274.38664568,0,0.6046936753871048,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_31,0.47023,0.527155,0.9445142,-0.0788461,0.056463677,0.4858225,0.5299875000000001,9.974999999999845E-4,0.007624999999999993,274.62248906,0,0.4467334001848249,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_32,0.2063675,0.25539999999999996,0.95812523,-0.11313834,0.074884616,0.19180625,0.26913625,0.0026199999999999973,0.00862874999999999,274.70281252999996,0,0.19335033531367518,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_33,0.12802,0.19934124999999997,0.9591237,-0.10214091,0.070600726,0.13013750000000002,0.20291625000000002,-5.975000000000008E-4,0.005548749999999991,274.64983322,0,0.2386152240086089,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_34,0.12802,0.19934124999999997,0.9591237,-0.10214091,0.070600726,0.13013750000000002,0.20291625000000002,-5.975000000000008E-4,0.005548749999999991,274.64983322,0,0.2772273862807667,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_35,0.027191249999999986,0.0957075,0.9275317,-0.15888089,0.15094763,0.03809499999999999,0.09017999999999998,-0.0027562500000000018,0.004063750000000005,274.65325124000003,0,0.3486528214432676,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_37,0.0867425,0.19437749999999998,0.9016968,-0.13843538,0.14021547,0.11795499999999998,0.1825525,-1.5750000000000486E-4,0.0061400000000000066,274.54729262,0,0.49485272990880314,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_38,0.0867425,0.19437749999999998,0.9016968,-0.13843538,0.14021547,0.11795499999999998,0.1825525,-1.5750000000000486E-4,0.0061400000000000066,274.54729262,0,0.008164855427254647,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_39,0.35940500000000003,0.38998499999999997,0.9486492,-0.07730089,0.031205365,0.33581,0.41894250000000005,2.274999999999916E-4,0.0071299999999999975,275.0223974,0,0.11158129328815447,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_3_0,0.43085,0.5351025,0.94169676,-0.03786866,0.012283124,0.5428850000000001,0.5677725,0.016067499999999985,0.013757500000000006,274.52678449999996,0,0.29605410233857843,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_3_1,0.353025,0.44941250000000005,0.9374882,-0.037055407,0.030276543,0.46593999999999997,0.5018,0.014499999999999985,0.01249249999999999,274.57121875999997,0,0.48963156131746965,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_3_3,0.2949725,0.3782425,0.9366016,-0.03937934,0.040894426,0.3511825,0.379975,0.01238249999999999,0.010897500000000004,274.5951449,0,0.7235421408089454,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_3_4,0.317715,0.34528375,0.9464844,-0.07132482,0.057192966,0.31807250000000004,0.35229625,0.010801249999999998,0.009687500000000002,274.9882172,0,0.06960324082966962,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_3_5,0.38189999999999996,0.48796750000000005,0.9406916,-0.03673669,0.018532488,0.5090049999999999,0.538705,0.014912499999999995,0.013069999999999998,274.5951449,0,0.1777772119336546,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_3_6,0.38189999999999996,0.48796750000000005,0.9406916,-0.03673669,0.018532488,0.5090049999999999,0.538705,0.014912499999999995,0.013069999999999998,274.5951449,0,0.5991597294232643,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_3_7,0.34532500000000005,0.43343499999999996,0.9398174,-0.037995584,0.035782885,0.40348750000000005,0.43536,0.013564999999999994,0.012080000000000007,274.62590708,0,0.13838466488512546,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_3_8,0.44132750000000004,0.47322749999999997,0.94423527,-0.040965557,0.029832842,0.44581,0.47606,0.015737499999999988,0.013262499999999983,274.54729262,0,0.7479288717713554,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_3_10,0.37684,0.4791125,0.9407089,-0.038583156,0.029183544,0.46198,0.49495249999999996,0.014637499999999998,0.012767499999999987,274.5951449,0,0.6015247717357443,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_3_11,0.33322500000000005,0.41063750000000004,0.9416483,-0.05667795,0.051067192,0.370735,0.41528499999999996,0.012630000000000002,0.01103499999999999,274.62248906,0,0.1290293065968109,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_4_2,0.42482749999999997,0.43153749999999996,0.8936023,-0.06810896,0.05578937,0.39399999999999996,0.43148250000000005,0.024867499999999987,0.027892499999999987,274.20890864,0,0.5813214983966288,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_4_3,0.4282375,0.43555250000000006,0.8955285,-0.0499898,0.0300128,0.41017,0.44278500000000004,0.025142499999999984,0.02803,274.22599874,0,0.13935816578588878,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_4_4,0.32899000000000006,0.3448575,0.9371543,-0.056562476,0.028798029,0.322775,0.35462,0.014087500000000003,0.011722499999999997,274.13029417999996,0,0.08258598135313155,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_4_5,0.30986375,0.3400725,0.91687715,-0.041027144,0.0038423105,0.33659375,0.36485,0.015407500000000005,0.017181249999999995,272.95791332,0,0.14577811900632565,"{""type"":""MultiPoint"",""coordinates"":[]}"
